Date,Name,Retail Price
1/10/2024,GeForce RTX 4070,548
1/11/2023,GeForce RTX 4070,540
1/11/2024,GeForce RTX 4070,525
1/12/2023,GeForce RTX 4070,546
1/12/2024,GeForce RTX 4070,539
1/1/2024,GeForce RTX 4070 SUPER,599
1/2/2024,GeForce RTX 4070 SUPER,595
1/3/2024,GeForce RTX 4070 SUPER,589
1/4/2024,GeForce RTX 4070 SUPER,590
1/5/2024,GeForce RTX 4070 SUPER,592
1/6/2024,GeForce RTX 4070 SUPER,584
1/7/2024,GeForce RTX 4070 SUPER,582
1/8/2024,GeForce RTX 4070 SUPER,581
1/9/2024,GeForce RTX 4070 SUPER,591
1/10/2024,GeForce RTX 4070 SUPER,595
1/11/2024,GeForce RTX 4070 SUPER,595
1/12/2024,GeForce RTX 4070 SUPER,599
1/1/2023,GeForce RTX 4070 Ti,816
1/1/2024,GeForce RTX 4070 Ti,757
1/2/2023,GeForce RTX 4070 Ti,821
1/2/2024,GeForce RTX 4070 Ti,743
1/3/2023,GeForce RTX 4070 Ti,825
1/3/2024,GeForce RTX 4070 Ti,713
1/4/2023,GeForce RTX 4070 Ti,829
1/4/2024,GeForce RTX 4070 Ti,740
1/5/2023,GeForce RTX 4070 Ti,802
1/5/2024,GeForce RTX 4070 Ti,768
1/6/2023,GeForce RTX 4070 Ti,797
1/6/2024,GeForce RTX 4070 Ti,769
1/7/2023,GeForce RTX 4070 Ti,787
1/7/2024,GeForce RTX 4070 Ti,762
1/8/2023,GeForce RTX 4070 Ti,790
1/8/2024,GeForce RTX 4070 Ti,757
1/9/2023,GeForce RTX 4070 Ti,794
1/9/2024,GeForce RTX 4070 Ti,738
1/10/2023,GeForce RTX 4070 Ti,771
1/10/2024,GeForce RTX 4070 Ti,779
1/11/2023,GeForce RTX 4070 Ti,768
1/11/2024,GeForce RTX 4070 Ti,829
1/12/2023,GeForce RTX 4070 Ti,776
1/12/2024,GeForce RTX 4070 Ti,834
1/1/2024,GeForce RTX 4070 Ti SUPER,782
1/2/2024,GeForce RTX 4070 Ti SUPER,799
1/3/2024,GeForce RTX 4070 Ti SUPER,807
1/4/2024,GeForce RTX 4070 Ti SUPER,796
1/5/2024,GeForce RTX 4070 Ti SUPER,791
1/6/2024,GeForce RTX 4070 Ti SUPER,788
1/7/2024,GeForce RTX 4070 Ti SUPER,782
1/8/2024,GeForce RTX 4070 Ti SUPER,795
1/9/2024,GeForce RTX 4070 Ti SUPER,795
1/10/2024,GeForce RTX 4070 Ti SUPER,799
1/11/2024,GeForce RTX 4070 Ti SUPER,784
1/12/2024,GeForce RTX 4070 Ti SUPER,802
1/3/2024,GeForce RTX 4080 SUPER,1076
1/4/2024,GeForce RTX 4080 SUPER,1036
1/5/2024,GeForce RTX 4080 SUPER,993
1/6/2024,GeForce RTX 4080 SUPER,971
1/7/2024,GeForce RTX 4080 SUPER,962
1/8/2024,GeForce RTX 4080 SUPER,958
1/9/2024,GeForce RTX 4080 SUPER,964
1/10/2024,GeForce RTX 4080 SUPER,996
1/11/2024,GeForce RTX 4080 SUPER,995
1/12/2024,GeForce RTX 4080 SUPER,1264
1/1/2023,GeForce RTX 4090,1998
1/1/2024,GeForce RTX 4090,1969
1/2/2023,GeForce RTX 4090,1684
1/2/2024,GeForce RTX 4090,1889
1/3/2023,GeForce RTX 4090,1662
1/3/2024,GeForce RTX 4090,1897
1/4/2023,GeForce RTX 4090,1633
1/4/2024,GeForce RTX 4090,1814
1/5/2023,GeForce RTX 4090,1601
1/5/2024,GeForce RTX 4090,1748
1/6/2023,GeForce RTX 4090,1598
1/6/2024,GeForce RTX 4090,1737
1/7/2023,GeForce RTX 4090,1596
1/7/2024,GeForce RTX 4090,1717
1/8/2023,GeForce RTX 4090,1609
1/8/2024,GeForce RTX 4090,1712
1/9/2023,GeForce RTX 4090,1668
1/9/2024,GeForce RTX 4090,1783
1/10/2023,GeForce RTX 4090,1678
1/10/2024,GeForce RTX 4090,1934
1/11/2023,GeForce RTX 4090,1927
1/11/2024,GeForce RTX 4090,2053
1/12/2022,GeForce RTX 4090,2079
1/12/2023,GeForce RTX 4090,2049
1/12/2024,GeForce RTX 4090,2229
1/1/2024,Radeon R7 360,0
1/2/2024,Radeon R7 360,0
1/3/2023,Radeon R7 360,0
1/3/2024,Radeon R7 360,146
1/4/2023,Radeon R7 360,0
1/4/2024,Radeon R7 360,146
1/5/2023,Radeon R7 360,0
1/5/2024,Radeon R7 360,146
1/6/2023,Radeon R7 360,146
1/6/2024,Radeon R7 360,146
1/7/2023,Radeon R7 360,0
1/7/2024,Radeon R7 360,146
1/8/2023,Radeon R7 360,0
1/8/2024,Radeon R7 360,146
1/9/2023,Radeon R7 360,0
1/9/2024,Radeon R7 360,146
1/10/2023,Radeon R7 360,146
1/10/2024,Radeon R7 360,146
1/11/2023,Radeon R7 360,0
1/11/2024,Radeon R7 360,146
1/12/2023,Radeon R7 360,0
1/12/2024,Radeon R7 360,146
1/1/2024,Radeon R9 370,0
1/2/2024,Radeon R9 370,0
1/3/2023,Radeon R9 370,0
1/3/2024,Radeon R9 370,227
1/4/2023,Radeon R9 370,149
1/4/2024,Radeon R9 370,227
1/5/2023,Radeon R9 370,149
1/5/2024,Radeon R9 370,227
1/6/2023,Radeon R9 370,225
1/6/2024,Radeon R9 370,227
1/7/2023,Radeon R9 370,228
1/7/2024,Radeon R9 370,227
1/8/2023,Radeon R9 370,227
1/8/2024,Radeon R9 370,227
1/9/2023,Radeon R9 370,228
1/9/2024,Radeon R9 370,227
1/10/2023,Radeon R9 370,229
1/10/2024,Radeon R9 370,227
1/11/2023,Radeon R9 370,0
1/11/2024,Radeon R9 370,227
1/12/2023,Radeon R9 370,0
1/12/2024,Radeon R9 370,227
1/1/2024,Radeon R9 380,0
1/2/2024,Radeon R9 380,0
1/3/2023,Radeon R9 380,0
1/3/2024,Radeon R9 380,239
1/4/2023,Radeon R9 380,459
1/4/2024,Radeon R9 380,239
1/5/2023,Radeon R9 380,459
1/5/2024,Radeon R9 380,239
1/6/2023,Radeon R9 380,238
1/6/2024,Radeon R9 380,239
1/7/2023,Radeon R9 380,293
1/7/2024,Radeon R9 380,239
1/8/2023,Radeon R9 380,241
1/8/2024,Radeon R9 380,239
1/9/2023,Radeon R9 380,242
1/9/2024,Radeon R9 380,239
1/10/2023,Radeon R9 380,239
1/10/2024,Radeon R9 380,239
1/11/2023,Radeon R9 380,0
1/11/2024,Radeon R9 380,239
1/12/2023,Radeon R9 380,0
1/12/2024,Radeon R9 380,239
1/1/2024,Radeon RX 460,0
1/2/2024,Radeon RX 460,0
1/3/2023,Radeon RX 460,0
1/3/2024,Radeon RX 460,217
1/4/2023,Radeon RX 460,329
1/4/2024,Radeon RX 460,217
1/5/2023,Radeon RX 460,329
1/5/2024,Radeon RX 460,217
1/6/2023,Radeon RX 460,218
1/6/2024,Radeon RX 460,217
1/7/2023,Radeon RX 460,223
1/7/2024,Radeon RX 460,217
1/8/2023,Radeon RX 460,217
1/8/2024,Radeon RX 460,217
1/9/2023,Radeon RX 460,219
1/9/2024,Radeon RX 460,217
1/10/2023,Radeon RX 460,217
1/10/2024,Radeon RX 460,217
1/11/2023,Radeon RX 460,0
1/11/2024,Radeon RX 460,217
1/12/2023,Radeon RX 460,0
1/12/2024,Radeon RX 460,217
1/1/2024,Radeon RX 550,0
1/2/2024,Radeon RX 550,0
1/3/2023,Radeon RX 550,113
1/3/2024,Radeon RX 550,75
1/4/2023,Radeon RX 550,101
1/4/2024,Radeon RX 550,75
1/5/2023,Radeon RX 550,94
